,count,mean,std,min,25%,50%,75%,max
SeriousDlqin2yrs,105000.0,0.06683809523809524,0.24974258402598165,0.0,0.0,0.0,0.0,1.0
RevolvingUtilizationOfUnsecuredLines,105000.0,6.146972413624123,217.68136551881327,0.0,0.02993927625,0.154673697,0.5610665967499999,22198.0
age,105000.0,52.221609523809526,14.765679767071653,0.0,41.0,52.0,63.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,105000.0,0.4199333333333333,4.188990590055815,0.0,0.0,0.0,0.0,98.0
DebtRatio,105000.0,354.16048731586153,1999.4553518196271,0.0,0.1748717645,0.36614317399999996,0.8691782045,329664.0
MonthlyIncome,84205.0,6700.439213823407,15368.210021666799,0.0,3400.0,5400.0,8250.0,3008750.0
NumberOfOpenCreditLinesAndLoans,105000.0,8.44027619047619,5.130888531617297,0.0,5.0,8.0,11.0,58.0
NumberOfTimes90DaysLate,105000.0,0.2651047619047619,4.166023454657066,0.0,0.0,0.0,0.0,98.0
NumberRealEstateLoansOrLines,105000.0,1.0164285714285715,1.1339771838577253,0.0,0.0,1.0,2.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,105000.0,0.2392857142857143,4.151858085878839,0.0,0.0,0.0,0.0,98.0
NumberOfDependents,102262.0,0.7568500518276584,1.1141825036491713,0.0,0.0,0.0,1.0,13.0
