,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,score_iforest
83852,0.9999999,50,98,0.0,28733.0,0,98,0,98,4.0,0,-0.17700061093523922
68413,0.9999999,56,98,0.0,7781.0,0,98,0,98,5.0,0,-0.17424189265000678
28965,0.9999999,33,98,0.0,2600.0,0,98,0,98,4.0,1,-0.16147447485013133
60337,0.9999999,79,98,0.005342832,1122.0,0,98,0,98,0.0,1,-0.15459762242577868
69660,0.9999999,31,98,0.0,2200.0,0,98,0,98,3.0,1,-0.15332216646881802
60807,0.9999999,58,98,0.073789393,1300.0,0,98,0,98,2.0,1,-0.15167554130343497
82712,0.470085076,59,5,1.280077904,15916.0,34,6,14,8,0.0,0,-0.1512114753507916
61073,0.9999999,21,98,0.0,0.0,0,98,0,98,0.0,0,-0.1501729851658289
34964,0.9999999,59,98,249.0,,0,98,0,98,,1,-0.14992159303217523
90678,0.9999999,21,98,0.0,400.0,0,98,0,98,0.0,0,-0.14984246610670648
71562,0.9999999,22,98,0.0,0.0,0,98,0,98,0.0,1,-0.1496772624749083
94506,0.9999999,22,98,0.0,0.0,0,98,0,98,0.0,0,-0.1496772624749083
72280,0.9999999,22,98,0.0,0.0,0,98,0,98,0.0,1,-0.1496772624749083
60024,0.9999999,27,98,0.0,1821.0,0,98,0,98,2.0,0,-0.14950770656642698
26790,0.9999999,22,98,0.0,300.0,0,98,0,98,0.0,0,-0.14934696696482452
17928,0.9999999,22,98,0.0,201.0,0,98,0,98,0.0,0,-0.14934696696482452
67007,0.9999999,63,98,0.0,986.0,0,98,0,98,0.0,1,-0.14919787336680934
35563,0.9999999,23,98,0.0,1.0,0,98,0,98,0.0,0,-0.1491818750697389
97355,0.9999999,21,98,0.0,867.0,0,98,0,98,0.0,0,-0.1491818750697389
60044,0.9999999,21,98,0.0,1300.0,0,98,0,98,0.0,1,-0.14898259398739244
