,mean_train,mean_prod,std_train,std_prod,median_train,median_prod,max_train,max_prod,diff_mean_pct,diff_std_pct,ks_stat,ks_pvalue
age,52.221609523809526,52.46693333333333,14.765679767071653,14.785029511034795,52.0,52.0,109.0,109.0,0.46977450860060604,0.1310453989818532,0.007346031746031767,0.0664339434737633
DebtRatio,354.16048731586153,350.30911547588926,1999.4553518196271,2124.6608259431086,0.36614317399999996,0.36746583850000003,329664.0,307001.0,-1.0874651402140718,6.261978993906357,0.005234920634920592,0.35260581241887223
RevolvingUtilizationOfUnsecuredLines,6.146972413624123,5.818524550433333,217.68136551881327,312.0291001738135,0.154673697,0.15329454,22198.0,50708.0,-5.3432460907555095,43.34212734752722,0.004479365079365083,0.5507531122831861
NumberOfOpenCreditLinesAndLoans,8.44027619047619,8.48188888888889,5.130888531617297,5.180866681730681,8.0,8.0,58.0,57.0,0.49302531663186305,0.9740642347891709,0.004136507936507994,0.6522946284195503
NumberRealEstateLoansOrLines,1.0164285714285715,1.0224666666666666,1.1339771838577253,1.119896228997865,1.0,1.0,54.0,32.0,0.5940501288357868,-1.2417317614766978,0.003599999999999992,0.807515353280789
MonthlyIncome,6700.439213823407,6599.665982697426,15368.210021666799,11772.460711814909,5400.0,5400.0,3008750.0,1794060.0,-1.5039794841818637,-23.39732021349552,0.003327687288917136,0.9416186548203989
NumberOfDependents,0.7568500518276584,0.7580910211347971,1.1141825036491713,1.1172044044216631,0.0,0.0,13.0,20.0,0.16396501581019432,0.2712213450305079,0.002228867269410295,0.9979709892728897
NumberOfTime60-89DaysPastDueNotWorse,0.2392857142857143,0.24295555555555556,4.151858085878839,4.162963947264117,0.0,0.0,98.0,98.0,1.533665008291873,0.267491353402739,0.0017396825396825966,0.9999790182716581
NumberOfTime30-59DaysPastDueNotWorse,0.4199333333333333,0.4236,4.188990590055815,4.201658378236245,0.0,0.0,98.0,98.0,0.8731544689633238,0.30240669937291514,0.0012031746031746504,0.9999999999737214
NumberOfTimes90DaysLate,0.2651047619047619,0.268,4.166023454657066,4.176993515476116,0.0,0.0,98.0,98.0,1.0921109354792438,0.26332210892349933,0.0008095238095238155,1.0
