RevolvingUtilizationOfUnsecuredLines,decil,tasa_positivos,n
"(-0.001, 0.00305]",1,0.02580952380952381,10500
"(0.00305, 0.0193]",2,0.014476190476190476,10500
"(0.0193, 0.0435]",3,0.013142857142857144,10500
"(0.0435, 0.0835]",4,0.01904761904761905,10500
"(0.0835, 0.155]",5,0.024,10500
"(0.155, 0.272]",6,0.03504761904761905,10500
"(0.272, 0.447]",7,0.051238095238095235,10500
"(0.447, 0.701]",8,0.08733333333333333,10500
"(0.701, 0.982]",9,0.1660952380952381,10500
"(0.982, 22198.0]",10,0.2321904761904762,10500
