,pearson_vs_target,spearman_vs_target,diff_abs_pearson_spearman
NumberOfTime30-59DaysPastDueNotWorse,0.12428141808492559,0.2561132530078351,0.1318318349229095
NumberOfTimes90DaysLate,0.11643147167492235,0.3418297232770526,0.22539825160213023
age,-0.11595734396112463,-0.11764328342320099,0.0016859394620763607
NumberOfTime60-89DaysPastDueNotWorse,0.10172118856333842,0.28148101516631435,0.17975982660297593
NumberOfDependents,0.047382811190034006,0.047539619964302365,0.0001568087742683591
NumberOfOpenCreditLinesAndLoans,-0.028591427964161538,-0.038322737734744594,0.009731309770583056
MonthlyIncome,-0.01753690109476589,-0.06482718832636365,0.04729028723159776
NumberRealEstateLoansOrLines,-0.006769435401772225,-0.0341995728045766,0.027430137402804373
DebtRatio,-0.006712131485818729,0.01788725302445547,0.0245993845102742
RevolvingUtilizationOfUnsecuredLines,-0.0014496008137555392,0.23971244068343917,0.2411620414971947
