,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
SeriousDlqin2yrs,1.0,-0.0014496008137555392,-0.11595734396112463,0.12428141808492559,-0.006712131485818729,-0.01753690109476589,-0.028591427964161538,0.11643147167492235,-0.006769435401772225,0.10172118856333842,0.047382811190034006
RevolvingUtilizationOfUnsecuredLines,-0.0014496008137555392,1.0,-0.00999452670818903,-0.0015819133651269563,0.008391988136971708,0.004124803897990669,-0.014793798686357029,-0.0011652983088738561,0.008032421873077317,-0.0011543462703862825,0.005982029861773765
age,-0.11595734396112463,-0.00999452670818903,1.0,-0.0629522349602534,0.02543729170907553,0.03337897878168987,0.1493688027737168,-0.06088329755605166,0.03460429697768606,-0.05711744156390348,-0.2123312652337104
NumberOfTime30-59DaysPastDueNotWorse,0.12428141808492559,-0.0015819133651269563,-0.0629522349602534,1.0,-0.006836809699707966,-0.009423563699511143,-0.05545808735065091,0.9837352329032951,-0.03071042058859077,0.9871443649189076,-0.0019134091769543087
DebtRatio,-0.006712131485818729,0.008391988136971708,0.02543729170907553,-0.006836809699707966,1.0,-0.027469981539682567,0.05139889490638065,-0.00851245723236163,0.12215254311879366,-0.0076800705344081364,-0.043900869251649814
MonthlyIncome,-0.01753690109476589,0.004124803897990669,0.03337897878168987,-0.009423563699511143,-0.027469981539682567,1.0,0.08524294857898854,-0.011982316992987276,0.11925304314143327,-0.010411392484443392,0.06256474833503588
NumberOfOpenCreditLinesAndLoans,-0.028591427964161538,-0.014793798686357029,0.1493688027737168,-0.05545808735065091,0.05139889490638065,0.08524294857898854,1.0,-0.08011043575863933,0.4337587854263434,-0.07117465694709679,0.063824802140775
NumberOfTimes90DaysLate,0.11643147167492235,-0.0011652983088738561,-0.06088329755605166,0.9837352329032951,-0.00851245723236163,-0.011982316992987276,-0.08011043575863933,1.0,-0.04494312655073813,0.992857947983853,-0.009624248884662701
NumberRealEstateLoansOrLines,-0.006769435401772225,0.008032421873077317,0.03460429697768606,-0.03071042058859077,0.12215254311879366,0.11925304314143327,0.4337587854263434,-0.04494312655073813,1.0,-0.03959923775957074,0.12200676102496485
NumberOfTime60-89DaysPastDueNotWorse,0.10172118856333842,-0.0011543462703862825,-0.05711744156390348,0.9871443649189076,-0.0076800705344081364,-0.010411392484443392,-0.07117465694709679,0.992857947983853,-0.03959923775957074,1.0,-0.010254794879916837
NumberOfDependents,0.047382811190034006,0.005982029861773765,-0.2123312652337104,-0.0019134091769543087,-0.043900869251649814,0.06256474833503588,0.063824802140775,-0.009624248884662701,0.12200676102496485,-0.010254794879916837,1.0
