,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
SeriousDlqin2yrs,1.0,0.23971244068343917,-0.11764328342320099,0.2561132530078351,0.01788725302445547,-0.06482718832636365,-0.038322737734744594,0.3418297232770526,-0.0341995728045766,0.28148101516631435,0.047539619964302365
RevolvingUtilizationOfUnsecuredLines,0.23971244068343917,1.0,-0.2798699670639212,0.23450436771136382,0.07446795516981768,-0.07805403940943129,-0.08472126228295028,0.23513527423219766,-0.02531086377985214,0.18358822299031619,0.11890890380699216
age,-0.11764328342320099,-0.2798699670639212,1.0,-0.09329211125862355,0.030771576860030604,0.13580474961594505,0.16044824530513346,-0.10167001640491269,0.057576994704431866,-0.08407841494353883,-0.22657287232613832
NumberOfTime30-59DaysPastDueNotWorse,0.2561132530078351,0.23450436771136382,-0.09329211125862355,1.0,0.035475404248623506,-0.014270995101370972,0.06278283835531748,0.25290632184843437,0.01973661131948526,0.2762417640198434,0.07063808164823344
DebtRatio,0.01788725302445547,0.07446795516981768,0.030771576860030604,0.035475404248623506,1.0,-0.13233020061075576,0.22808276391712184,-0.035048460000260406,0.4026483044187581,-0.0016203595040882109,-0.03730698536867414
MonthlyIncome,-0.06482718832636365,-0.07805403940943129,0.13580474961594505,-0.014270995101370972,-0.13233020061075576,1.0,0.31043550386781926,-0.08914441118474768,0.3910480445351859,-0.05261718389491948,0.20336732733300322
NumberOfOpenCreditLinesAndLoans,-0.038322737734744594,-0.08472126228295028,0.16044824530513346,0.06278283835531748,0.22808276391712184,0.31043550386781926,1.0,-0.13554684682447132,0.47236542723884406,-0.04899162798382161,0.0980403705050287
NumberOfTimes90DaysLate,0.3418297232770526,0.23513527423219766,-0.10167001640491269,0.25290632184843437,-0.035048460000260406,-0.08914441118474768,-0.13554684682447132,1.0,-0.10341970732311793,0.324101306492627,0.030287719381131728
NumberRealEstateLoansOrLines,-0.0341995728045766,-0.02531086377985214,0.057576994704431866,0.01973661131948526,0.4026483044187581,0.3910480445351859,0.47236542723884406,-0.10341970732311793,1.0,-0.045929364387173044,0.16334895574358196
NumberOfTime60-89DaysPastDueNotWorse,0.28148101516631435,0.18358822299031619,-0.08407841494353883,0.2762417640198434,-0.0016203595040882109,-0.05261718389491948,-0.04899162798382161,0.324101306492627,-0.045929364387173044,1.0,0.03450463442937969
NumberOfDependents,0.047539619964302365,0.11890890380699216,-0.22657287232613832,0.07063808164823344,-0.03730698536867414,0.20336732733300322,0.0980403705050287,0.030287719381131728,0.16334895574358196,0.03450463442937969,1.0
