,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
RevolvingUtilizationOfUnsecuredLines,,0.06190019280427306,0.043032755994837135,0.1416241901099755,0.027843244101965592,0.11140507041885916,0.04265587938868953,0.0274610351029847,0.027395476988735012,0.01393725821980385
age,0.06190019280427306,,0.008455300286981826,0.07838189430712594,0.08418369371649481,0.057464602540121756,0.00574726184364005,0.06991838939459116,0.004279615790061753,0.0939127375532327
NumberOfTime30-59DaysPastDueNotWorse,0.043032755994837135,0.008455300286981826,,0.015181078958399707,0.0011858265592135098,0.010243306220876658,0.03280938436099268,0.003954630058293329,0.037367338730409205,0.0048881034145580315
DebtRatio,0.1416241901099755,0.07838189430712594,0.015181078958399707,,0.5617618518059255,0.15754893843923568,0.006900132010017157,0.3324603512756996,0.005837480124167627,0.04866916568976598
MonthlyIncome,0.027843244101965592,0.08418369371649481,0.0011858265592135098,0.5617618518059255,,0.05957213382487714,0.0067318537943570345,0.07653400119991671,0.0032366152813718685,0.05524035479702483
NumberOfOpenCreditLinesAndLoans,0.11140507041885916,0.057464602540121756,0.010243306220876658,0.15754893843923568,0.05957213382487714,,0.018992548196909098,0.14332318665834487,0.007884118793966888,0.010705496234368894
NumberOfTimes90DaysLate,0.04265587938868953,0.00574726184364005,0.03280938436099268,0.006900132010017157,0.0067318537943570345,0.018992548196909098,,0.01217827647393932,0.034709069007353044,0.002027396537335857
NumberRealEstateLoansOrLines,0.0274610351029847,0.06991838939459116,0.003954630058293329,0.3324603512756996,0.07653400119991671,0.14332318665834487,0.01217827647393932,,0.002265796248197116,0.014573451671759052
NumberOfTime60-89DaysPastDueNotWorse,0.027395476988735012,0.004279615790061753,0.037367338730409205,0.005837480124167627,0.0032366152813718685,0.007884118793966888,0.034709069007353044,0.002265796248197116,,2.0539633185379103e-06
NumberOfDependents,0.01393725821980385,0.0939127375532327,0.0048881034145580315,0.04866916568976598,0.05524035479702483,0.010705496234368894,0.002027396537335857,0.014573451671759052,2.0539633185379103e-06,
