,var1,var2,pearson,spearman,diff_abs_pearson_spearman
0,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,0.992857947983853,0.324101306492627,0.668756641491226
1,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,0.9871443649189076,0.2762417640198434,0.7109026008990642
2,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,0.9837352329032951,0.25290632184843437,0.7308289110548607
3,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,0.4337587854263434,0.47236542723884406,0.038606641812500675
4,age,NumberOfDependents,-0.2123312652337104,-0.22657287232613832,0.014241607092427916
5,age,NumberOfOpenCreditLinesAndLoans,0.1493688027737168,0.16044824530513346,0.011079442531416656
6,DebtRatio,NumberRealEstateLoansOrLines,0.12215254311879366,0.4026483044187581,0.28049576129996445
7,NumberRealEstateLoansOrLines,NumberOfDependents,0.12200676102496485,0.16334895574358196,0.04134219471861711
8,MonthlyIncome,NumberRealEstateLoansOrLines,0.11925304314143327,0.3910480445351859,0.2717950013937526
9,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,0.08524294857898854,0.31043550386781926,0.22519255528883073
10,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,-0.08011043575863933,-0.13554684682447132,0.055436411065832
11,NumberOfOpenCreditLinesAndLoans,NumberOfTime60-89DaysPastDueNotWorse,-0.07117465694709679,-0.04899162798382161,0.022183028963275182
12,NumberOfOpenCreditLinesAndLoans,NumberOfDependents,0.063824802140775,0.0980403705050287,0.0342155683642537
13,age,NumberOfTime30-59DaysPastDueNotWorse,-0.0629522349602534,-0.09329211125862355,0.03033987629837015
14,MonthlyIncome,NumberOfDependents,0.06256474833503588,0.20336732733300322,0.14080257899796733
15,age,NumberOfTimes90DaysLate,-0.06088329755605166,-0.10167001640491269,0.04078671884886103
16,age,NumberOfTime60-89DaysPastDueNotWorse,-0.05711744156390348,-0.08407841494353883,0.026960973379635357
17,NumberOfTime30-59DaysPastDueNotWorse,NumberOfOpenCreditLinesAndLoans,-0.05545808735065091,0.06278283835531748,0.11824092570596839
18,DebtRatio,NumberOfOpenCreditLinesAndLoans,0.05139889490638065,0.22808276391712184,0.17668386901074118
19,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,-0.04494312655073813,-0.10341970732311793,0.058476580772379806
20,DebtRatio,NumberOfDependents,-0.043900869251649814,-0.03730698536867414,0.0065938838829756735
21,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,-0.03959923775957074,-0.045929364387173044,0.006330126627602302
22,age,NumberRealEstateLoansOrLines,0.03460429697768606,0.057576994704431866,0.02297269772674581
23,age,MonthlyIncome,0.03337897878168987,0.13580474961594505,0.10242577083425518
24,NumberOfTime30-59DaysPastDueNotWorse,NumberRealEstateLoansOrLines,-0.03071042058859077,0.01973661131948526,0.05044703190807603
25,DebtRatio,MonthlyIncome,-0.027469981539682567,-0.13233020061075576,0.1048602190710732
26,age,DebtRatio,0.02543729170907553,0.030771576860030604,0.0053342851509550725
27,RevolvingUtilizationOfUnsecuredLines,NumberOfOpenCreditLinesAndLoans,-0.014793798686357029,-0.08472126228295028,0.06992746359659326
28,MonthlyIncome,NumberOfTimes90DaysLate,-0.011982316992987276,-0.08914441118474768,0.0771620941917604
29,MonthlyIncome,NumberOfTime60-89DaysPastDueNotWorse,-0.010411392484443392,-0.05261718389491948,0.04220579141047608
30,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,-0.010254794879916837,0.03450463442937969,0.04475942930929653
31,RevolvingUtilizationOfUnsecuredLines,age,-0.00999452670818903,-0.2798699670639212,0.2698754403557322
32,NumberOfTimes90DaysLate,NumberOfDependents,-0.009624248884662701,0.030287719381131728,0.03991196826579443
33,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,-0.009423563699511143,-0.014270995101370972,0.004847431401859829
34,DebtRatio,NumberOfTimes90DaysLate,-0.00851245723236163,-0.035048460000260406,0.026536002767898775
35,RevolvingUtilizationOfUnsecuredLines,DebtRatio,0.008391988136971708,0.07446795516981768,0.06607596703284596
36,RevolvingUtilizationOfUnsecuredLines,NumberRealEstateLoansOrLines,0.008032421873077317,-0.02531086377985214,0.03334328565292946
37,DebtRatio,NumberOfTime60-89DaysPastDueNotWorse,-0.0076800705344081364,-0.0016203595040882109,0.006059711030319926
38,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,-0.006836809699707966,0.035475404248623506,0.04231221394833147
39,RevolvingUtilizationOfUnsecuredLines,NumberOfDependents,0.005982029861773765,0.11890890380699216,0.1129268739452184
40,RevolvingUtilizationOfUnsecuredLines,MonthlyIncome,0.004124803897990669,-0.07805403940943129,0.08217884330742195
41,NumberOfTime30-59DaysPastDueNotWorse,NumberOfDependents,-0.0019134091769543087,0.07063808164823344,0.07255149082518775
42,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,-0.0015819133651269563,0.23450436771136382,0.23608628107649077
43,RevolvingUtilizationOfUnsecuredLines,NumberOfTimes90DaysLate,-0.0011652983088738561,0.23513527423219766,0.2363005725410715
44,RevolvingUtilizationOfUnsecuredLines,NumberOfTime60-89DaysPastDueNotWorse,-0.0011543462703862825,0.18358822299031619,0.18474256926070245
