,PC1,PC2,PC3
RevolvingUtilizationOfUnsecuredLines,-0.0005727445496722682,-0.004364926207062336,0.046172834695754165
age,-0.05812018412994654,0.14224212941265002,-0.6710922097600565
NumberOfTime30-59DaysPastDueNotWorse,0.5723362735152832,0.06700731273588836,-0.01889245612702342
DebtRatio,-0.012252895419128279,0.18961124884147545,-0.209460920822652
MonthlyIncome,-0.014471630245233616,0.2538870074822255,0.13155919481294331
NumberOfOpenCreditLinesAndLoans,-0.07650979498704491,0.6339975179175742,-0.09962220035889868
NumberOfTimes90DaysLate,0.5743216397302471,0.04943099958693378,-0.022905852176335083
NumberRealEstateLoansOrLines,-0.05286953641397734,0.6549208067670723,0.05250476303350332
NumberOfTime60-89DaysPastDueNotWorse,0.5745705256173456,0.05615876468923352,-0.025865882910171452
NumberOfDependents,-0.008232452289124063,0.19589731848626962,0.6870877938350443
