,PC1,PC2,PC3
RevolvingUtilizationOfUnsecuredLines,0.4963589964825656,0.013843156334681464,0.11394500278031307
age,-0.3379475843521673,-0.004563134624266793,-0.516059109043969
NumberOfTime30-59DaysPastDueNotWorse,0.385836289684528,0.2903576359699909,-0.2725541369466724
DebtRatio,-0.08722242240593198,0.0025327695316748056,-0.3584353992573082
MonthlyIncome,-0.06458993926360122,0.25632073010862466,0.13944924288787056
NumberOfOpenCreditLinesAndLoans,-0.23805803535908734,0.5868434021690829,-0.12460176064285974
NumberOfTimes90DaysLate,0.4375102751319951,0.05206549821198872,-0.26269811324408054
NumberRealEstateLoansOrLines,-0.17317695128308325,0.6091801429506731,0.012098286496259825
NumberOfTime60-89DaysPastDueNotWorse,0.42163889925482734,0.16582409391816802,-0.33998605871519777
NumberOfDependents,0.15137184782438928,0.32261305768902454,0.5460942792691633
