variable,importancia_permutacion_media,importancia_permutacion_std,n_filas_usadas,importancia_xgboost_nativa,importancia_subrogado_05,nombre_legible
NumberOfTime30-59DaysPastDueNotWorse,0.002199999999999995,0.0005811865258054216,3000,0.1298253983259201,0.0734485495419679,N. moras 30-59 dias
NumberOfTimes90DaysLate,0.0019666666666666595,0.0008225975119502044,3000,0.33013489842414856,0.7155413218739539,N. impagos 90+ dias
RevolvingUtilizationOfUnsecuredLines,0.0014333333333333294,0.0012206555615733672,3000,0.19216856360435486,0.0397008767084161,Utilizacion de credito revolving
NumberOfTime60-89DaysPastDueNotWorse,0.001166666666666663,0.0006368324391514277,3000,0.14932313561439514,0.1218973586659075,N. moras 60-89 dias
MonthlyIncome,0.0008666666666666628,0.0008326663997864521,3000,0.013820337131619453,0.0031939437718202,Ingreso mensual
DebtRatio,0.0007666666666666641,0.0007000000000000003,3000,0.018407920375466347,0.0088883140747741,Ratio de deuda
NumberOfOpenCreditLinesAndLoans,0.0007666666666666614,0.001135781669160056,3000,0.021900342777371407,0.0207859579161073,N. lineas de credito abiertas
NumberRealEstateLoansOrLines,0.00046666666666666243,0.0004760952285695228,3000,0.0251120887696743,,N. hipotecas/lineas inmob.
es_centinela_pastdue,0.00023333333333332845,0.00029999999999999856,3000,0.07154418528079987,,Centinela mora (flag)
is_missing_monthlyincome,6.666666666666349e-05,0.00035901098714229997,3000,0.011971523053944111,,Ingreso ausente (flag)
age,6.66666666666607e-05,0.0006960204339273696,3000,0.023029372096061707,0.0165436774470527,Edad
NumberOfDependents,3.3333333333326884e-05,0.00034801021696368416,3000,0.012762277387082577,,N. dependientes
