escenario,tramo_edad,n,tasa_denegacion,tasa_impago_real,fp_rate,fn_rate,coste_medio
coste1,<=30,1562,0.03969270166453265,0.1056338028169014,0.019327129563350035,0.7878787878787878,0.10051216389244558
coste1,31-40,3431,0.0425531914893617,0.08947828621393179,0.02208706786171575,0.749185667752443,0.08714660448848732
coste1,41-50,4951,0.03292264189052717,0.08442738840638254,0.014118685197440988,0.7631578947368421,0.07735810947283377
coste1,51-60,4896,0.017769607843137254,0.06740196078431372,0.007665352606219886,0.8424242424242424,0.0639297385620915
coste1,61-70,3734,0.007498660953401178,0.0356186395286556,0.0036101083032490976,0.8872180451127819,0.03508302088912694
coste1,>70,2426,0.0053586150041220115,0.021022258862324814,0.002105263157894737,0.8431372549019608,0.01978565539983512
coste10,<=30,1562,0.3719590268886043,0.1056338028169014,0.31567644953471724,0.15151515151515152,0.44238156209987195
coste10,31-40,3431,0.28737977266103176,0.08947828621393179,0.23975672215108834,0.2280130293159609,0.42232585252113086
coste10,41-50,4951,0.23712381337103616,0.08442738840638254,0.19016104125303332,0.2535885167464115,0.3882044031508786
coste10,51-60,4896,0.15441176470588236,0.06740196078431372,0.11804643013578625,0.3424242424242424,0.340890522875817
coste10,61-70,3734,0.080878414568827,0.0356186395286556,0.062760344348792,0.42857142857142855,0.21317621853240493
coste10,>70,2426,0.05234954657873042,0.021022258862324814,0.04252631578947368,0.49019607843137253,0.1446826051112943
