,VIF_antes,VIF_despues
RevolvingUtilizationOfUnsecuredLines,1.000557825054909,1.2498218473153293
age,1.084364713266244,1.1708648751892567
NumberOfTime30-59DaysPastDueNotWorse,40.89768294737055,1.1781080140151572
DebtRatio,1.0239778232666092,1.9065297816548017
MonthlyIncome,1.015970563369601,1.5577504404922813
NumberOfOpenCreditLinesAndLoans,1.2859724017162395,1.4221463720703333
NumberOfTimes90DaysLate,71.6976701666784,1.1494012204517852
NumberRealEstateLoansOrLines,1.2755263402987669,1.875033859341189
NumberOfTime60-89DaysPastDueNotWorse,89.6394137284819,1.1719504895183397
NumberOfDependents,1.0786868656010027,1.1171431051639045
