escenario,feature,mean_abs_shap,mean_shap,ranking
coste1,RevolvingUtilizationOfUnsecuredLines,0.78725207,-0.35767072,1
coste1,NumberOfTime30-59DaysPastDueNotWorse,0.34859914,-0.12242654,2
coste1,NumberOfTimes90DaysLate,0.32775578,-0.1644616,3
coste1,age,0.22728327,-0.06542025,4
coste1,NumberOfTime60-89DaysPastDueNotWorse,0.17354,-0.06029071,5
coste1,NumberOfOpenCreditLinesAndLoans,0.15918851,-0.015808461,6
coste1,DebtRatio,0.12931998,-0.017771607,7
coste1,MonthlyIncome,0.08823886,-0.024007196,8
coste1,NumberRealEstateLoansOrLines,0.06817197,-0.015856033,9
coste1,NumberOfDependents,0.04346993,-0.0059735025,10
coste1,es_centinela_pastdue,0.0145731475,-0.008636442,11
coste1,is_missing_monthlyincome,0.013269614,-0.0012412078,12
coste10,RevolvingUtilizationOfUnsecuredLines,0.78725207,-0.35767072,1
coste10,NumberOfTime30-59DaysPastDueNotWorse,0.34859914,-0.12242654,2
coste10,NumberOfTimes90DaysLate,0.32775578,-0.1644616,3
coste10,age,0.22728327,-0.06542025,4
coste10,NumberOfTime60-89DaysPastDueNotWorse,0.17354,-0.06029071,5
coste10,NumberOfOpenCreditLinesAndLoans,0.15918851,-0.015808461,6
coste10,DebtRatio,0.12931998,-0.017771607,7
coste10,MonthlyIncome,0.08823886,-0.024007196,8
coste10,NumberRealEstateLoansOrLines,0.06817197,-0.015856033,9
coste10,NumberOfDependents,0.04346993,-0.0059735025,10
coste10,es_centinela_pastdue,0.0145731475,-0.008636442,11
coste10,is_missing_monthlyincome,0.013269614,-0.0012412078,12
