peso,max_depth,n_hojas,tasa_deny_sub,fidelidad_global,fid_denegar,prec_denegar,f1_denegar
balanced,3,8,0.057761904761904764,0.9620952380952381,0.9178356713426854,0.37757625721352017,0.5350467289719626
balanced,4,15,0.07052380952380953,0.9519047619047619,0.9719438877755511,0.3274814314652262,0.4898989898989899
balanced,5,23,0.06819047619047619,0.9550952380952381,0.9899799599198397,0.34497206703910616,0.5116519937856033
balanced,6,31,0.06966666666666667,0.9539047619047619,0.9959919839679359,0.3397129186602871,0.5066258919469928
sin_peso,3,8,0.015857142857142858,0.988,0.5811623246492986,0.8708708708708709,0.6971153846153846
sin_peso,4,12,0.013095238095238096,0.988,0.5230460921843687,0.9490909090909091,0.6744186046511628
sin_peso,5,16,0.017095238095238094,0.9886666666666667,0.6212424849699398,0.8635097493036211,0.7226107226107226
sin_peso,6,20,0.017095238095238094,0.9886666666666667,0.6212424849699398,0.8635097493036211,0.7226107226107226
peso_5,3,8,0.03528571428571429,0.9808571428571429,0.8396793587174348,0.5654520917678812,0.6758064516129032
peso_5,4,16,0.038,0.9802380952380952,0.8837675350701403,0.5526315789473685,0.6800308404009252
peso_5,5,23,0.0329047619047619,0.9841904761904762,0.8597194388777555,0.6208393632416788,0.7210084033613445
peso_5,6,27,0.0329047619047619,0.9841904761904762,0.8597194388777555,0.6208393632416788,0.7210084033613445
